Postnumber;Date;Author;Comment
post-15801;11/12/2019  12:23;Filderkraut-Festzeitung  {10/2019}  -  KOCHHELDEN.TV;[…]  50  Kilometer  von  unserem  Wohnort  entfernt,  wird  das  berühmte  Filder-Spitzkraut  angebaut.  Die  Ernte  und  Verarbeitung  haben  wir  uns  […]
post-15730;21/11/2019  10:58;sommerlese;Hallo  liebe  Mia,was  für  ein  eindrucksvoller  Post  und  soviel  schöne  Fotos.  Da  fühlt  man  sich  direkt  mitten  im  Geschehen.  Und  wieder  habe  ich  etwas  gelernt:  Hägenmark,  den  Begriff  kannte  ich  noch  nicht.  Dabei  esse  ich  gerne  Hagebuttenmarmelade  und  weiß  von  dem  hohen  Vitamin  C-Gehalt.Liebe  Grüße  Barbara
post-15718;21/11/2019  21:10;Caro;Liebe  Mia,  die  Pasta  zur  Soße  ist  noch  nicht  fertig,  aber  die  Käsesoße  hab  ich  trotzdem  schon  probiert:  wie  abgefahren  ist  das  denn?!  Schmeckt  soo  gut  und  echt  käsig.  Das  fehlte  mir  in  Alternativen  bislang  immer.  Mach  ich  ab  jetzt  öfter!  Liebe  Grüße  Caro
post-15584;17/10/2019  08:39;Chani;Mein  liebstes  Gemüse,  wenn  man  es  denn  als  solches  zählt,  ist  die  Tomate.  Sie  ist  so  universell  einsetzbar  und  je  nach  Zubereitung  völlig  unterschiedlich  im  Geschmack.  Dazu  passt  auch  mein  liebstes  vegetarisches  Gericht:  Gemüsequiche.  😊
post-15584;17/10/2019  09:22;Rafael;Ich  bin  ein  großer  Fan  von  Rosenkohl  –  den  brate  ich  gerne  braun  an  und  lösche  ihn  mit  Creme  Fraiche  ab,  dann  Zitrone,  Salz  und  Pfeffer  dazu  und  voila,  super  Soße  für  Pasta!
post-15584;17/10/2019  10:36;Hartmut  Walther;Diese  Seite  war,  ist  und  bleibt  hervorragend!
post-15584;17/10/2019  10:39;Conny;Hallo  Mia,mein  liebstes  Gemüse  ist  Spinat.  Als  Spinatknödel  ist  er  mein  vegetarisches  Lieblingsgericht.  Ich  mag  ihn  aber  auch  roh  im  Salat,  als  Pastasoße  oder  als  Quiche.  Einfach  immer  wieder  unheimlich  lecker.Viele  Grüße  Conny
post-15584;17/10/2019  10:47;Jeannine  Rockstroh;Hallo  Mia,danke  für  die  unzähligen  leckeren  und  schnellen  Gerichte  die  immer  wieder  zauberst.  Ich  mag  am  liebsten  Kürbis.  Ob  als  Püree,  im  Ofen  geröstet,  als  Suppe  oder  im  Porridge.  Kürbis  geht  einfach  immer  und  macht  super  satt.Viele  Grüße  Jeannine
post-15584;17/10/2019  11:04;Bruno;HalloMein  liebstes  Gemüse  sind  und  bleiben  Möhren!Mein  Lieblingsgericht  ist  mein  Salat.  Es  beginnt  mit  einem  Kopf  Römersalat,  in  Streifen  geschnitten.  Dazu  kommt  eine  dicke  Möhre  in  5-15  mm  dicken  Scheiben.  Es  folgen  rote  Beete  Kugeln,  Apfel/Pfirsich/Birne  und  Tomaten  (frisch  oder  getrocknet).  Darauf  wird  Ziegenfrischkäse  gebröckelt.  Und  zum  Abschluss  gibt  es  Vinaigrette  aus  Rapsöl  (nussig),  Apfelessig  und  Honigsenf.
post-15584;17/10/2019  11:32;Chris;Hallo,Mein  liebstes  Gemüse  ist  die  Tomate.  Es  gibt  mehrere  Gerichte,  die  ich  gerne  damit  zubereite…eine  schönen  frischen  Tomatensalat  oder  eine  Tomatensuppe,
